id. Trans;prod 1;prod 2;prod 3;prod 4;prod 5;prod 6;prod 7;prod 8
97;13;5;11;4;5;19;8;6
98;2;22;7;10;1;1;19;8
99;3;10;9;2;8;1;3;10
100;18;12;10;14;8;11;23;17
101;1;13;4;14;19;10;4;22
102;4;21;22;6;13;7;23;8
103;12;21;17;16;8;3;8;14
104;7;17;2;7;13;4;17;21
105;2;3;7;17;7;3;16;14
106;12;11;15;9;5;9;15;10
107;22;17;21;2;23;14;11;23
108;12;9;7;7;6;14;23;13
109;16;9;9;14;9;13;17;13
110;4;21;18;19;6;10;6;4
111;22;6;5;9;7;6;14;21
112;11;21;2;1;18;11;16;13
113;21;13;16;15;19;15;19;18
114;21;9;23;19;23;4;14;13
115;14;22;22;21;21;19;19;12
116;21;23;15;21;8;14;21;23
117;19;6;17;2;11;15;16;13
118;9;7;9;19;11;7;21;17
119;1;10;7;19;16;1;6;11
120;15;19;7;12;21;8;21;5
121;15;16;19;8;4;21;14;19
122;23;12;1;15;9;7;17;5
123;16;14;21;7;3;17;23;15
124;4;8;21;12;21;3;15;23
125;21;19;21;16;10;21;15;16
126;22;6;15;2;10;14;17;21
127;13;16;2;9;7;5;22;14
128;10;5;10;7;9;18;7;14
129;2;2;8;7;18;8;14;19
130;21;22;14;18;3;9;14;14
131;15;6;12;13;14;4;12;14
132;21;22;14;14;10;2;6;14
133;3;21;9;14;7;2;8;6
134;17;5;15;11;12;16;1;14
135;7;9;16;10;18;5;21;10
136;12;11;16;12;12;2;12;10
137;7;8;1;9;4;16;1;15
138;8;16;18;10;19;7;6;10
139;2;11;7;2;5;16;15;4
140;6;3;17;6;7;18;23;21
141;17;12;13;11;23;14;8;18
142;21;22;5;13;14;6;14;14
143;11;5;19;17;21;8;21;10
144;13;14;17;9;4;1;17;2
145;11;21;1;10;11;2;23;14
146;7;21;8;7;2;22;1;13
147;17;1;21;8;5;13;12;1
148;10;15;15;10;13;22;21;6
149;9;13;9;14;15;17;21;7
150;7;17;7;8;21;18;2;7
151;22;16;13;8;22;1;18;18
152;9;7;7;7;4;9;22;13
153;9;23;12;21;21;5;21;9
154;2;21;3;9;11;17;3;14
155;7;19;11;9;7;6;4;1
156;7;18;5;7;1;7;15;16
157;10;9;2;19;17;12;12;22
158;14;3;15;7;22;22;7;19
159;1;1;17;7;19;9;13;4
160;8;3;2;11;13;12;17;19
161;16;21;6;7;2;14;16;14
162;7;1;2;18;11;3;23;13
163;19;4;4;4;19;3;7;11
164;23;11;4;8;18;11;21;21
165;14;5;13;13;21;21;5;23
166;15;13;2;14;8;14;6;7
167;15;8;22;23;13;23;7;14
168;14;6;3;16;7;1;21;6
169;11;18;7;14;9;21;17;23
170;23;9;7;8;23;14;2;16
171;21;16;14;12;3;21;7;17
172;21;19;1;13;17;22;18;3
173;1;2;1;21;8;15;14;18
174;6;14;14;14;6;18;18;21
175;7;12;18;9;1;4;1;21
176;9;23;14;16;21;21;2;6
177;12;14;18;23;1;21;4;22
178;21;16;9;11;9;16;14;13
179;17;9;17;12;14;2;17;21
180;2;7;13;23;7;15;12;4
181;19;14;13;15;2;21;22;13
182;9;16;1;4;21;19;18;9
183;7;6;21;6;9;15;14;11
184;3;22;9;18;5;15;16;12
185;8;18;5;3;12;1;21;1
186;7;14;12;7;6;12;12;14
187;2;3;3;21;3;3;1;22
188;16;5;18;10;12;11;19;2
189;19;7;4;9;4;16;7;1
190;15;7;14;23;11;16;11;17
191;8;21;14;18;16;23;19;16
192;3;2;19;14;9;13;10;1
193;12;1;12;21;16;18;14;11
194;21;1;8;21;21;16;21;7
195;17;2;9;9;9;13;14;16
196;12;23;12;7;4;16;14;1
197;17;10;14;2;7;14;22;19
198;7;21;23;23;16;16;19;5
199;1;6;10;19;19;21;22;14
200;22;6;12;6;7;21;19;18
201;23;18;22;18;17;22;19;23
202;5;7;13;12;22;16;21;10
203;17;4;2;18;14;18;18;15
204;6;7;17;21;7;5;5;17
205;7;16;10;8;10;7;1;17
206;6;17;23;16;21;19;21;19
207;23;8;10;7;17;4;21;18
208;13;11;18;11;21;15;6;1
209;4;8;7;7;14;16;4;17
210;11;13;2;1;23;13;18;21
211;18;8;21;12;21;23;15;21
212;2;23;16;13;22;21;10;16
213;11;6;2;4;6;15;12;22
214;15;1;13;21;9;11;19;8
215;14;21;2;22;6;15;4;3
216;7;2;8;17;12;9;21;10
217;21;19;5;8;19;1;7;4
218;13;23;2;16;14;6;11;6
219;19;3;16;6;10;15;14;14
220;4;15;1;22;15;15;6;23
221;8;15;8;21;23;19;9;23
222;15;7;14;10;19;8;21;12
223;11;19;11;2;1;21;3;9
224;1;13;8;5;7;21;4;3
225;3;15;16;3;19;15;23;2
226;18;12;10;21;9;21;17;19
227;17;18;4;2;4;6;4;7
228;7;23;15;8;21;11;13;17
229;7;6;21;12;12;13;6;6
230;9;6;8;10;2;18;15;7
231;5;8;10;4;21;17;23;19
232;23;6;18;9;2;19;11;6
233;3;1;15;7;10;19;23;17
234;4;21;1;15;8;11;23;4
235;13;13;3;14;10;23;13;1
236;14;21;7;2;14;11;23;13
237;15;5;7;7;9;21;22;18
238;10;23;5;15;22;14;11;13
239;12;23;7;21;11;7;11;14
240;22;6;14;13;4;7;19;14
241;18;7;1;10;13;2;21;4
242;9;8;7;21;9;10;16;14
243;2;12;3;1;10;4;21;14
244;5;19;1;18;7;16;18;7
245;5;23;15;12;8;18;6;22
246;9;10;15;21;11;13;12;11
247;10;11;16;17;12;9;7;7
248;11;16;1;15;21;14;23;12
249;13;21;21;23;3;7;10;19
250;13;2;10;17;13;22;17;8
251;4;8;3;3;9;19;7;6
252;9;17;6;23;23;11;5;16
253;19;11;14;14;9;1;21;13
254;15;3;22;1;18;6;14;12
255;12;19;7;19;9;14;2;19
256;10;15;15;11;12;7;10;6
257;7;16;4;22;4;13;8;16
258;1;23;3;1;8;16;13;9
259;3;8;14;14;19;23;3;1
260;13;7;10;7;7;7;22;2
261;15;11;14;22;11;16;10;14
262;18;15;10;19;13;12;16;14
263;5;9;7;19;19;11;17;23
264;2;7;18;21;13;17;15;7
265;7;1;7;7;4;14;7;9
266;15;19;10;18;22;3;8;7
267;21;18;4;12;6;1;14;5
268;14;8;15;2;19;22;23;23
269;1;13;7;13;21;3;11;6
270;10;7;21;6;19;14;1;22
271;6;22;21;2;17;2;22;14
272;7;1;7;21;5;7;11;15
273;11;23;14;13;9;18;18;16
274;7;23;7;15;17;17;7;10
275;15;4;13;14;21;14;2;2
276;7;4;4;7;1;15;10;21
277;9;23;6;13;16;6;8;7
278;9;13;1;21;4;22;6;23
279;23;1;21;13;17;6;7;4
280;22;3;4;9;23;8;9;21
281;19;14;12;21;21;2;5;16
282;21;7;17;1;17;14;6;12
283;21;8;13;4;8;7;23;1
284;16;21;21;14;21;13;21;12
285;10;1;18;18;4;21;17;3
286;10;16;21;7;7;10;17;4
287;5;7;23;11;3;5;19;1
288;1;6;6;13;16;4;17;12
289;5;19;7;10;13;6;7;19
290;21;16;9;3;23;14;7;19
291;7;5;7;5;5;19;18;15
292;14;8;9;17;9;21;8;10
293;8;5;3;12;3;16;16;14
294;7;3;4;6;4;9;17;15
295;17;14;11;23;3;16;11;17
296;15;4;22;16;18;2;9;8
297;11;7;23;6;18;23;22;13
298;11;18;12;22;16;22;9;23
299;9;11;5;19;10;19;1;16
300;10;17;21;9;21;22;6;4
