id. Trans;prod 1;prod 2;prod 3;prod 4;prod 5;prod 6;prod 7;prod 8
154;2;21;3;9;11;17;3;14
155;20;19;11;9;7;6;4;1
156;20;18;5;20;1;7;15;16
157;10;9;2;19;17;12;12;6
158;14;3;15;20;6;6;7;19
159;1;1;17;20;19;9;13;4
160;8;3;2;11;13;12;17;19
161;16;25;6;20;2;14;16;20
162;7;1;2;18;11;3;13;13
163;19;4;4;4;19;3;7;11
164;13;11;4;8;18;11;21;21
165;20;5;13;13;25;25;5;13
166;15;13;2;20;8;14;6;20
167;15;8;6;13;13;13;20;20
168;20;6;3;16;20;1;21;6
169;11;18;20;14;9;21;17;13
170;13;9;7;8;13;14;2;16
171;25;16;14;12;3;21;7;17
172;25;19;1;13;17;6;18;3
173;1;2;1;25;8;15;14;18
174;6;20;14;14;6;18;18;25
175;20;12;18;9;1;4;1;25
176;9;13;20;16;25;25;2;6
177;12;14;18;13;1;25;4;6
178;21;16;9;11;9;16;14;13
179;17;9;17;12;14;2;17;21
180;2;7;13;13;7;15;12;4
181;19;20;13;15;2;21;6;13
182;9;16;1;4;25;19;18;9
183;20;6;21;6;9;15;20;11
184;3;6;9;18;5;15;16;12
185;8;18;5;3;12;1;21;1
186;20;14;12;7;6;12;12;20
187;2;3;3;21;3;3;1;6
188;16;5;18;10;12;11;19;2
189;19;7;4;9;4;16;7;1
190;15;7;14;13;11;16;11;17
191;8;21;20;18;16;13;19;16
192;3;2;19;14;9;13;10;1
193;12;1;12;25;16;18;14;11
194;21;1;8;21;25;16;21;7
195;17;2;9;9;9;13;14;16
196;12;13;12;7;4;16;20;1
197;17;10;14;2;20;14;6;19
198;7;25;13;13;16;16;19;5
199;1;6;10;19;19;25;6;14
200;6;6;12;6;7;21;19;18
201;13;18;6;18;17;6;19;13
202;5;20;13;12;6;16;21;10
203;17;4;2;18;14;18;18;15
204;6;20;17;21;7;5;5;17
205;20;16;10;8;10;20;1;17
206;6;17;13;16;21;19;21;19
207;13;8;10;20;17;4;21;18
208;13;11;18;11;21;15;6;1
209;4;8;20;20;20;16;4;17
210;11;13;2;1;13;13;18;25
211;18;8;25;12;21;13;15;25
212;2;13;16;13;6;21;10;16
213;11;6;2;4;6;15;12;6
214;15;1;13;25;9;11;19;8
215;14;25;2;6;6;15;4;3
216;20;2;8;17;12;9;25;10
217;21;19;5;8;19;1;20;4
218;13;13;2;16;14;6;11;6
219;19;3;16;6;10;15;14;20
220;4;15;1;6;15;15;6;13
221;8;15;8;21;13;19;9;13
222;15;20;14;10;19;8;21;12
223;11;19;11;2;1;21;3;9
224;1;13;8;5;7;21;4;3
225;3;15;16;3;19;15;13;2
226;18;12;10;25;9;25;17;19
227;17;18;4;2;4;6;4;20
228;7;13;15;8;21;11;13;17
229;7;6;21;12;12;13;6;6
230;9;6;8;10;2;18;15;7
231;5;8;10;4;21;17;13;19
232;13;6;18;9;2;19;11;6
233;3;1;15;20;10;19;13;17
234;4;21;1;15;8;11;13;4
235;13;13;3;14;10;13;13;1
236;14;21;20;2;20;11;13;13
237;15;5;20;7;9;25;6;18
238;10;13;5;15;6;20;11;13
239;12;13;7;21;11;20;11;20
240;6;6;20;13;4;20;19;20
241;18;7;1;10;13;2;25;4
242;9;8;20;21;9;10;16;20
243;2;12;3;1;10;4;21;20
244;5;19;1;18;20;16;18;20
245;5;13;15;12;8;18;6;6
246;9;10;15;25;11;13;12;11
247;10;11;16;17;12;9;20;20
248;11;16;1;15;25;14;13;12
249;13;25;25;13;3;7;10;19
250;13;2;10;17;13;6;17;8
251;4;8;3;3;9;19;20;6
252;9;17;6;13;13;11;5;16
253;19;11;20;14;9;1;25;13
254;15;3;6;1;18;6;14;12
255;12;19;20;19;9;14;2;19
256;10;15;15;11;12;7;10;6
257;7;16;4;6;4;13;8;16
258;1;13;3;1;8;16;13;9
259;3;8;20;20;19;13;3;1
260;13;7;10;7;20;20;6;2
261;15;11;14;6;11;16;10;20
262;18;15;10;19;13;12;16;14
263;5;9;7;19;19;11;17;13
264;2;7;18;25;13;17;15;20
265;7;1;7;20;4;14;20;9
266;15;19;10;18;6;3;8;7
267;25;18;4;12;6;1;20;5
268;20;8;15;2;19;6;13;13
269;1;13;7;13;25;3;11;6
270;10;7;25;6;19;14;1;6
271;6;6;21;2;17;2;6;14
272;20;1;7;25;5;20;11;15
273;11;13;20;13;9;18;18;16
274;7;13;7;15;17;17;7;10
275;15;4;13;20;25;14;2;2
276;20;4;4;20;1;15;10;21
277;9;13;6;13;16;6;8;7
278;9;13;1;25;4;6;6;13
279;13;1;21;13;17;6;20;4
280;6;3;4;9;13;8;9;21
281;19;20;12;25;21;2;5;16
282;25;20;17;1;17;14;6;12
283;21;8;13;4;8;20;13;1
284;16;25;21;20;25;13;25;12
285;10;1;18;18;4;21;17;3
286;10;16;25;7;20;10;17;4
287;5;7;13;11;3;5;19;1
288;1;6;6;13;16;4;17;12
289;5;19;7;10;13;6;20;19
290;25;16;9;3;13;20;7;19
291;7;5;20;5;5;19;18;15
292;14;8;9;17;9;25;8;10
293;8;5;3;12;3;16;16;14
294;7;3;4;6;4;9;17;15
295;17;20;11;13;3;16;11;17
296;15;4;6;16;18;2;9;8
297;11;7;13;6;18;13;6;13
298;11;18;12;6;16;6;9;13
299;9;11;5;19;10;19;1;16
300;10;17;21;9;25;6;6;4
